Title,Price,Date,URL
"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",59.95,2025-08-07,https://www.amazon.com/dp/B0CQ1HP3RX/
"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",59.95,2025-08-07,https://www.amazon.com/dp/B0CQ1HP3RX/
"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",59.95,2025-08-07,https://www.amazon.com/dp/B0CQ1HP3RX/
